"A","APPESOUP","Hot Herbed Bread","APPE0001"
"A","APPESOUP","Sea food Vol-au-Vent","APPE0002"
"A","APPESOUP","Cheese-Olive Appetizer","APPE0003"
"A","APPESOUP","Smoked Salmon Tortilla Rolls","APPE0004"
"A","APPESOUP","Ham Pate","APPE0005"
"A","APPESOUP","Crab Cakes","APPE0006"
"A","APPESOUP","Shrimp Cakes w. Roasted Red Pepper & Curry Sauce","APPE0007"
"A","APPESOUP","Cold Spring Rolls (Thai)","APPE0008"
"A","APPESOUP","Chicken Wings","APPE0009"
"A","APPESOUP","Mussels in Basil-Coconut Sauce","APPE0010"
"A","APPESOUP","Artichoke-Cheese Dip","APPE0011"
"A","APPESOUP","Shrimp Dip","APPE0012"
"A","APPESOUP","Joan Faria's Coriander Paste","APPE0013"
"A","APPESOUP","Classic Dipper (Bread w. Chipotle Dip)","APPE0014"
"A","APPESOUP","Min Rosti with Gravlax","APPE0015"
"A","APPESOUP","Italian Bruschetta","APPE0016"
"A","APPESOUP","Bruschettas (2 recipes)","APPE0017"
"A","APPESOUP","Veggie Wrap Roll","APPE0018"
"A","APPESOUP","Smoked Mackerel and Smoked Salmon Spreads","APPE0019"
"A","APPESOUP","Olive Tapenade","APPE0020"
"A","APPESOUP","Veggie Go Rounds","APPE0021"
"A","APPESOUP","Hot Crab Dip","APPE0022"
"A","APPESOUP","Gazpacho","SOUP0001"
"A","APPESOUP","New England Seafood Chowder","SOUP0002"
"A","APPESOUP","Mexican Corn Soup","SOUP0003"
"A","APPESOUP","Tomato Tarragon Soup","SOUP0004"
"A","APPESOUP","Cream of Carrot Soup","SOUP0005"
"A","APPESOUP","Mulligatawny Soup","SOUP0006"
"A","APPESOUP","Curried Sweet Potato and Squash Soup","SOUP0007"
"A","APPESOUP","Spinach and Mascarpone Soup","SOUP0008"
"A","APPESOUP","Shrimp Bisque","SOUP0009"
"A","APPESOUP","Pat's Curried Pumpkin Soup","SOUP0010"
"A","APPESOUP","Mexican Tomato Soup (Jamie Oliver)","SOUP0011"
"B","SALADS","Carrot Salad","SALA0001"
"B","SALADS","Cucumber/Onion Salad","SALA0002"
"B","SALADS","Caesar Salad Dressing","SALA0003"
"B","SALADS","Salad Dressing","SALA0004"
"B","SALADS","Hummus","SALA0005"
"B","SALADS","Taboule","SALA0005"
"B","SALADS","Taramosalata","SALA0005"
"B","SALADS","Spinach/Mushroom Salad","SALA0006"
"B","SALADS","Tomato Aspic","SALA0007"
"B","SALADS","Rice Salad (Bev Gardham's)","SALA0008"
"B","SALADS","Indian Salad","SALA0009"
"B","SALADS","Raita","SALA0010"
"B","SALADS","Mango and/or Broccoli Salads (4)","SALA0011"
"B","SALADS","Avocado/shrimp salad & Guacamole","SALA0012"
"B","SALADS","Tomato and Cucumber Salad","SALA0013"
"B","SALADS","Thai Cucumber Salad (see also SALA0022)","SALA0014"
"B","SALADS","Spinach, Kiwi and Strawberry Salad","SALA0015"
